,license_plate,kreis_key,income_pp_2000,income_pp_2001,income_pp_2002,income_pp_2003,income_pp_2004,income_pp_2005,income_pp_2006,income_pp_2007,income_pp_2008,income_pp_2009,income_pp_2010,income_pp_2011,income_pp_2012,income_pp_2013,income_pp_2014,income_pp_2015,income_pp_2016,income_pp_2017,income_pp_2018,income_2000,income_2001,income_2002,income_2003,income_2004,income_2005,income_2006,income_2007,income_2008,income_2009,income_2010,income_2011,income_2012,income_2013,income_2014,income_2015,income_2016,income_2017,income_2018,crimes_2013,crimes_2014,crimes_2015,crimes_2016,crimes_2017,crimes_2018,crimes_2019,crimes_2020,population_1995,population_1996,population_1997,population_1998,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,kreis_name
661,LP,5974,15202,15816,15605,15963,16246,16549,17006,17375,18086,17807,18561,19242,19937,20252,20545,20748,21204,21944,22746,4602150,4795557,4746136,4857693,4938832,5025763,5148673,5239627,5433108,5324725,5525334,5710982,5906966,5984478,6078419,6221545,6410549,6619785,6864608,18710.0,18738.0,17508.0,17950.0,16898.0,16172.0,15986.0,15573.0,296753,300064,302174,303711,305327,306270,307043,308319,308960,308857,308883,308211,307559,306709,305727,304820,296795,296285,295500,295857,299869,302325,301674,301798,301844,"      Soest, Kreis"
662,SÖM,16068,12815,13446,13474,13703,14019,14049,14526,14891,15370,15480,15809,16349,16680,17131,17440,17731,18315,19040,19482,1040013,1080211,1070973,1077333,1089266,1078279,1101750,1116883,1138805,1134183,1145935,1173876,1188896,1214916,1232729,1251289,1288650,1334217,1360657,3842.0,3626.0,3622.0,4262.0,3579.0,3559.0,2963.0,3473.0,82593,82538,82482,82256,81912,81541,80690,79991,79150,78263,77344,76478,75667,74783,74009,73308,71802,71275,70919,70685,70569,70359,70073,69841,69541,"      Sömmerda, Kreis"
663,SON,16072,13660,14243,14449,14714,14972,15112,15662,16056,16400,16603,16742,17160,17607,18050,18414,19021,19907,20626,21140,925407,955436,959447,965499,969980,965771,985768,996933,1002809,999368,995663,1009148,1023594,1038382,1050155,1080651,1127991,1164027,1189757,3283.0,2932.0,3208.0,3451.0,3117.0,2902.0,3102.0,3488.0,71139,70455,69881,69389,68805,68122,67596,66953,66134,65344,64508,63539,62749,61896,60923,60250,58807,58134,57527,57031,56814,56663,56434,56279,58064,"      Sonneberg, Kreis"
664,NH,16072,13660,14243,14449,14714,14972,15112,15662,16056,16400,16603,16742,17160,17607,18050,18414,19021,19907,20626,21140,925407,955436,959447,965499,969980,965771,985768,996933,1002809,999368,995663,1009148,1023594,1038382,1050155,1080651,1127991,1164027,1189757,3283.0,2932.0,3208.0,3451.0,3117.0,2902.0,3102.0,3488.0,71139,70455,69881,69389,68805,68122,67596,66953,66134,65344,64508,63539,62749,61896,60923,60250,58807,58134,57527,57031,56814,56663,56434,56279,58064,"      Sonneberg, Kreis"
665,SPN,12071,12628,13033,13360,13724,14047,14329,14691,15042,15572,16062,16364,17071,17087,17444,17796,18178,18747,19652,20450,1867397,1897479,1909204,1926866,1940799,1946315,1960697,1974606,2007757,2033890,2035152,2089858,2065418,2085277,2108177,2141923,2197740,2282438,2350632,8776.0,10275.0,8097.0,8660.0,6961.0,6608.0,6539.0,6416.0,149801,150409,151175,151692,150459,149267,147288,144744,142430,140241,138132,135914,134040,131773,129574,127411,122419,120875,119539,118465,117833,117231,116141,114943,114075,"      Spree-Neiße, Landkreis"
666,FOR,12071,12628,13033,13360,13724,14047,14329,14691,15042,15572,16062,16364,17071,17087,17444,17796,18178,18747,19652,20450,1867397,1897479,1909204,1926866,1940799,1946315,1960697,1974606,2007757,2033890,2035152,2089858,2065418,2085277,2108177,2141923,2197740,2282438,2350632,8776.0,10275.0,8097.0,8660.0,6961.0,6608.0,6539.0,6416.0,149801,150409,151175,151692,150459,149267,147288,144744,142430,140241,138132,135914,134040,131773,129574,127411,122419,120875,119539,118465,117833,117231,116141,114943,114075,"      Spree-Neiße, Landkreis"
667,GUB,12071,12628,13033,13360,13724,14047,14329,14691,15042,15572,16062,16364,17071,17087,17444,17796,18178,18747,19652,20450,1867397,1897479,1909204,1926866,1940799,1946315,1960697,1974606,2007757,2033890,2035152,2089858,2065418,2085277,2108177,2141923,2197740,2282438,2350632,8776.0,10275.0,8097.0,8660.0,6961.0,6608.0,6539.0,6416.0,149801,150409,151175,151692,150459,149267,147288,144744,142430,140241,138132,135914,134040,131773,129574,127411,122419,120875,119539,118465,117833,117231,116141,114943,114075,"      Spree-Neiße, Landkreis"
668,SPB,12071,12628,13033,13360,13724,14047,14329,14691,15042,15572,16062,16364,17071,17087,17444,17796,18178,18747,19652,20450,1867397,1897479,1909204,1926866,1940799,1946315,1960697,1974606,2007757,2033890,2035152,2089858,2065418,2085277,2108177,2141923,2197740,2282438,2350632,8776.0,10275.0,8097.0,8660.0,6961.0,6608.0,6539.0,6416.0,149801,150409,151175,151692,150459,149267,147288,144744,142430,140241,138132,135914,134040,131773,129574,127411,122419,120875,119539,118465,117833,117231,116141,114943,114075,"      Spree-Neiße, Landkreis"
669,WND,10046,17373,19587,18903,19552,20688,20815,20517,20403,21177,21811,22512,23386,23702,22990,19580,20047,21061,21775,21849,1646446,1851410,1782982,1838989,1940045,1943082,1899750,1874395,1929659,1968452,2015179,2077885,2119468,2042463,1730997,1775696,1867544,1919699,1914715,3535.0,3633.0,3292.0,3566.0,3349.0,3330.0,3872.0,2929.0,96067,96400,96316,96050,95748,95438,95262,95149,94951,94709,94412,93725,93063,92332,91580,90906,90073,89420,88842,88408,88576,88675,88162,87632,87202,"      St. Wendel, Landkreis"
670,STD,3359,15824,16573,16454,16852,16993,17440,17890,18160,18571,18674,19140,19770,20136,20529,20972,21274,21871,22505,23076,3010843,3170159,3164258,3256884,3297556,3394701,3493385,3550214,3627157,3644495,3736091,3863720,3940473,4026772,4131146,4228221,4392612,4540608,4672849,10876.0,12112.0,11825.0,10941.0,11529.0,10475.0,10915.0,11159.0,182049,184641,186446,188289,189984,191236,192218,193429,194502,195301,196018,196807,197105,197003,196925,197070,195430,195693,196148,196982,198751,200846,201763,202495,203807,"      Stade, Landkreis"
671,STA,9188,29028,29655,28232,28650,28910,30028,31275,32050,32373,30906,31753,33287,33228,33044,33702,36070,33558,34130,35356,3548165,3672186,3526618,3590243,3629860,3785947,3946217,4045616,4098550,3915490,4024417,4242551,4280507,4301410,4426533,4788125,4502701,4612269,4802037,4272.0,4357.0,4623.0,4910.0,4970.0,4941.0,4645.0,5161.0,119144,119842,120428,121210,122385,124010,125815,127205,128082,128165,128711,128883,129196,129743,129855,130115,127454,128821,130171,131342,132747,134177,135139,135819,136380,"      Starnberg, Landkreis"
672,WOR,9188,29028,29655,28232,28650,28910,30028,31275,32050,32373,30906,31753,33287,33228,33044,33702,36070,33558,34130,35356,3548165,3672186,3526618,3590243,3629860,3785947,3946217,4045616,4098550,3915490,4024417,4242551,4280507,4301410,4426533,4788125,4502701,4612269,4802037,4272.0,4357.0,4623.0,4910.0,4970.0,4941.0,4645.0,5161.0,119144,119842,120428,121210,122385,124010,125815,127205,128082,128165,128711,128883,129196,129743,129855,130115,127454,128821,130171,131342,132747,134177,135139,135819,136380,"      Starnberg, Landkreis"
673,IZ,1061,14786,15324,15305,15821,16086,16475,16721,17145,17651,17722,18091,18778,19462,19545,19808,20076,20833,21517,21991,1995424,2072597,2075709,2147944,2183228,2230562,2253089,2293496,2344486,2341082,2377752,2457077,2536692,2542327,2577316,2626732,2743060,2834746,2891389,8452.0,7805.0,7380.0,8433.0,8390.0,6986.0,7333.0,6655.0,132549,133579,134486,135080,135370,135895,136295,136748,136843,136972,136714,136228,135310,134451,133747,133092,130850,130339,130076,130118,130838,131666,131744,131480,131180,"      Steinburg, Landkreis"
674,ST,5566,14768,15388,15367,15790,16202,16393,16685,16900,17487,17241,17857,18517,19241,19658,19954,20345,21026,21651,22402,6342185,6640681,6665085,6877230,7073809,7169249,7301219,7395387,7644846,7518302,7770262,8041896,8350415,8538138,8695873,8956735,9333357,9645244,10015495,27251.0,26428.0,26226.0,26010.0,25650.0,24255.0,22319.0,22664.0,413614,418674,423480,427503,430848,433790,436011,438837,440944,442440,443577,444147,444662,444899,443954,443467,434302,433995,434326,435804,440251,443892,445487,447090,447917,"      Steinfurt, Kreis"
675,BF,5566,14768,15388,15367,15790,16202,16393,16685,16900,17487,17241,17857,18517,19241,19658,19954,20345,21026,21651,22402,6342185,6640681,6665085,6877230,7073809,7169249,7301219,7395387,7644846,7518302,7770262,8041896,8350415,8538138,8695873,8956735,9333357,9645244,10015495,27251.0,26428.0,26226.0,26010.0,25650.0,24255.0,22319.0,22664.0,413614,418674,423480,427503,430848,433790,436011,438837,440944,442440,443577,444147,444662,444899,443954,443467,434302,433995,434326,435804,440251,443892,445487,447090,447917,"      Steinfurt, Kreis"
676,TE,5566,14768,15388,15367,15790,16202,16393,16685,16900,17487,17241,17857,18517,19241,19658,19954,20345,21026,21651,22402,6342185,6640681,6665085,6877230,7073809,7169249,7301219,7395387,7644846,7518302,7770262,8041896,8350415,8538138,8695873,8956735,9333357,9645244,10015495,27251.0,26428.0,26226.0,26010.0,25650.0,24255.0,22319.0,22664.0,413614,418674,423480,427503,430848,433790,436011,438837,440944,442440,443577,444147,444662,444899,443954,443467,434302,433995,434326,435804,440251,443892,445487,447090,447917,"      Steinfurt, Kreis"
677,SDL,15090,11967,12493,12545,12854,13168,13261,13607,13915,14521,14796,15260,15786,16132,16521,17007,17136,17773,18622,18947,1682610,1730347,1712798,1734985,1751680,1733737,1752511,1764331,1810387,1815267,1843897,1879807,1895004,1917585,1957007,1970012,2040860,2118988,2133181,8625.0,8458.0,8334.0,8052.0,7852.0,7046.0,7335.0,6590.0,148089,146792,145782,144394,143173,141679,139628,137713,136230,134618,132210,130436,128478,126551,124498,122769,119082,117467,116069,115070,114965,114828,113790,112584,111586,"      Stendal, Landkreis"
678,HV,15090,11967,12493,12545,12854,13168,13261,13607,13915,14521,14796,15260,15786,16132,16521,17007,17136,17773,18622,18947,1682610,1730347,1712798,1734985,1751680,1733737,1752511,1764331,1810387,1815267,1843897,1879807,1895004,1917585,1957007,1970012,2040860,2118988,2133181,8625.0,8458.0,8334.0,8052.0,7852.0,7046.0,7335.0,6590.0,148089,146792,145782,144394,143173,141679,139628,137713,136230,134618,132210,130436,128478,126551,124498,122769,119082,117467,116069,115070,114965,114828,113790,112584,111586,"      Stendal, Landkreis"
679,OBG,15090,11967,12493,12545,12854,13168,13261,13607,13915,14521,14796,15260,15786,16132,16521,17007,17136,17773,18622,18947,1682610,1730347,1712798,1734985,1751680,1733737,1752511,1764331,1810387,1815267,1843897,1879807,1895004,1917585,1957007,1970012,2040860,2118988,2133181,8625.0,8458.0,8334.0,8052.0,7852.0,7046.0,7335.0,6590.0,148089,146792,145782,144394,143173,141679,139628,137713,136230,134618,132210,130436,128478,126551,124498,122769,119082,117467,116069,115070,114965,114828,113790,112584,111586,"      Stendal, Landkreis"
680,OD,1062,19098,19852,19824,20574,20730,21171,21240,21405,21590,21767,21857,22552,23238,23037,23303,23847,24423,25011,25737,4143844,4348366,4379033,4565484,4625571,4752096,4784216,4839677,4903624,4966831,5015220,5204376,5394649,5385822,5492371,5679359,5878908,6056078,6249928,13494.0,13419.0,13775.0,12984.0,13549.0,12585.0,13224.0,12406.0,207836,210092,212214,213791,214926,216460,218680,220510,221367,222729,223880,224689,225663,226557,227739,228924,230776,232144,233793,235690,238160,240713,242142,242834,243676,"      Stormarn, Landkreis"
681,SR,9278,13912,14600,14675,15215,16020,16251,16742,17308,17850,17541,18353,19248,19894,20406,20825,21692,22167,22733,23480,1307383,1381847,1399780,1460985,1544593,1568054,1613115,1666371,1716748,1684063,1759517,1847333,1917876,1979233,2033456,2134205,2194842,2262597,2353775,2700.0,2719.0,3006.0,2702.0,2519.0,2332.0,2578.0,2602.0,90355,91322,92292,93252,94080,94829,95574,96451,97182,97582,97816,97785,97833,97875,97686,97584,95974,96404,96995,97645,98387,99014,99530,100244,100885,"      Straubing-Bogen, Landkreis"
682,BOG,9278,13912,14600,14675,15215,16020,16251,16742,17308,17850,17541,18353,19248,19894,20406,20825,21692,22167,22733,23480,1307383,1381847,1399780,1460985,1544593,1568054,1613115,1666371,1716748,1684063,1759517,1847333,1917876,1979233,2033456,2134205,2194842,2262597,2353775,2700.0,2719.0,3006.0,2702.0,2519.0,2332.0,2578.0,2602.0,90355,91322,92292,93252,94080,94829,95574,96451,97182,97582,97816,97785,97833,97875,97686,97584,95974,96404,96995,97645,98387,99014,99530,100244,100885,"      Straubing-Bogen, Landkreis"
683,MAL,9278,13912,14600,14675,15215,16020,16251,16742,17308,17850,17541,18353,19248,19894,20406,20825,21692,22167,22733,23480,1307383,1381847,1399780,1460985,1544593,1568054,1613115,1666371,1716748,1684063,1759517,1847333,1917876,1979233,2033456,2134205,2194842,2262597,2353775,2700.0,2719.0,3006.0,2702.0,2519.0,2332.0,2578.0,2602.0,90355,91322,92292,93252,94080,94829,95574,96451,97182,97582,97816,97785,97833,97875,97686,97584,95974,96404,96995,97645,98387,99014,99530,100244,100885,"      Straubing-Bogen, Landkreis"
684,SÜW,7337,16126,17060,16740,16974,17521,17777,18353,18807,19074,19474,19876,20599,21037,21640,21756,22318,22750,23503,24538,1756411,1863370,1835492,1867670,1933279,1962042,2018449,2061508,2084685,2119791,2156840,2232285,2283047,2356377,2379710,2457911,2518532,2603050,2711137,5129.0,5182.0,5127.0,4884.0,4952.0,5021.0,5032.0,4977.0,106413,107237,107909,108255,108680,109247,109583,109960,110453,110698,110709,110469,110073,109921,109411,109063,108369,108526,108889,109381,110131,110706,110754,110489,110439,"      Südliche Weinstraße, Landkreis"
685,PS,7340,15060,15765,15679,16013,16570,16959,17550,18066,18341,18787,18798,19394,19959,20029,20498,21189,21674,22350,23469,1588491,1659147,1648350,1678943,1727726,1756204,1803987,1841467,1850990,1877228,1862910,1907820,1947876,1940581,1978183,2043467,2085366,2139292,2236453,2830.0,3300.0,3021.0,2951.0,2872.0,2599.0,2759.0,2720.0,105025,105459,105787,105843,105786,105456,105296,105168,104894,104459,103586,102961,102093,101093,100041,99241,98374,97594,96890,96505,96442,96216,95716,95294,94972,"      Südwestpfalz, Landkreis"
686,ZW,7340,15060,15765,15679,16013,16570,16959,17550,18066,18341,18787,18798,19394,19959,20029,20498,21189,21674,22350,23469,1588491,1659147,1648350,1678943,1727726,1756204,1803987,1841467,1850990,1877228,1862910,1907820,1947876,1940581,1978183,2043467,2085366,2139292,2236453,2830.0,3300.0,3021.0,2951.0,2872.0,2599.0,2759.0,2720.0,105025,105459,105787,105843,105786,105456,105296,105168,104894,104459,103586,102961,102093,101093,100041,99241,98374,97594,96890,96505,96442,96216,95716,95294,94972,"      Südwestpfalz, Landkreis"
687,TF,12072,13449,14089,14377,14684,15132,15819,16305,16772,17120,17416,17438,17986,18033,18417,18566,18700,19187,19821,20241,2125274,2239719,2290967,2343879,2419027,2533299,2617627,2694587,2746346,2788090,2784034,2867784,2878005,2947940,2988607,3039171,3149773,3286960,3392224,10885.0,11336.0,11495.0,10860.0,10834.0,10565.0,10605.0,10059.0,147484,148935,151631,154451,157076,158958,160004,160381,160765,161111,161588,162009,162470,162278,162008,161577,159444,159599,160067,160968,162521,164162,165831,167593,169147,"      Teltow-Fläming, Landkreis"
688,TIR,9377,13734,14246,14269,14599,15015,15271,15806,16404,17041,16944,17767,18652,18730,19279,19890,20391,20633,21299,22122,1103328,1140274,1137769,1157434,1183433,1195032,1226722,1263629,1303227,1285719,1338175,1394576,1389803,1420686,1458976,1494316,1508568,1551065,1606444,2705.0,2571.0,2454.0,2910.0,2564.0,2611.0,2716.0,2613.0,80367,80576,80586,80562,80501,80191,79935,79586,79133,78642,78088,77370,76882,76275,75661,75079,74770,74203,73690,73354,73282,73116,72824,72617,72275,"      Tirschenreuth, Landkreis"
689,KEM,9377,13734,14246,14269,14599,15015,15271,15806,16404,17041,16944,17767,18652,18730,19279,19890,20391,20633,21299,22122,1103328,1140274,1137769,1157434,1183433,1195032,1226722,1263629,1303227,1285719,1338175,1394576,1389803,1420686,1458976,1494316,1508568,1551065,1606444,2705.0,2571.0,2454.0,2910.0,2564.0,2611.0,2716.0,2613.0,80367,80576,80586,80562,80501,80191,79935,79586,79133,78642,78088,77370,76882,76275,75661,75079,74770,74203,73690,73354,73282,73116,72824,72617,72275,"      Tirschenreuth, Landkreis"
690,TS,9189,16007,17058,16904,17363,17788,18099,18595,19045,19779,19576,20509,21356,21971,22309,22880,22994,23187,23611,24434,2658858,2850013,2839026,2926767,3004325,3060855,3142972,3213841,3337204,3301763,3456306,3601389,3716332,3790689,3916312,3979570,4052986,4152294,4317256,7277.0,7075.0,7343.0,6974.0,6605.0,5940.0,5491.0,5629.0,162090,163563,164646,165417,166232,167148,168313,169191,170045,170364,170661,170645,170559,170634,170583,170537,168632,169146,169914,171171,173070,174797,175861,176690,177204,"      Traunstein, Landkreis"
691,LF,9189,16007,17058,16904,17363,17788,18099,18595,19045,19779,19576,20509,21356,21971,22309,22880,22994,23187,23611,24434,2658858,2850013,2839026,2926767,3004325,3060855,3142972,3213841,3337204,3301763,3456306,3601389,3716332,3790689,3916312,3979570,4052986,4152294,4317256,7277.0,7075.0,7343.0,6974.0,6605.0,5940.0,5491.0,5629.0,162090,163563,164646,165417,166232,167148,168313,169191,170045,170364,170661,170645,170559,170634,170583,170537,168632,169146,169914,171171,173070,174797,175861,176690,177204,"      Traunstein, Landkreis"
692,TR,7235,14388,15308,15365,15908,16688,17068,17646,18093,18355,18734,18731,19475,19752,20120,20746,21069,21704,22554,23861,1998205,2133246,2151154,2236308,2352888,2412361,2500034,2573499,2619766,2678539,2682264,2792895,2838823,2899646,3003676,3088993,3210391,3342124,3549074,5303.0,5197.0,5585.0,9671.0,6840.0,5320.0,5780.0,5597.0,133534,134365,135057,135942,136876,137487,137951,138387,138966,139335,139660,140172,140600,141101,141289,141525,143413,143723,144115,144782,146613,147917,148183,148739,149172,"      Trier-Saarburg, Landkreis"
693,SAB,7235,14388,15308,15365,15908,16688,17068,17646,18093,18355,18734,18731,19475,19752,20120,20746,21069,21704,22554,23861,1998205,2133246,2151154,2236308,2352888,2412361,2500034,2573499,2619766,2678539,2682264,2792895,2838823,2899646,3003676,3088993,3210391,3342124,3549074,5303.0,5197.0,5585.0,9671.0,6840.0,5320.0,5780.0,5597.0,133534,134365,135057,135942,136876,137487,137951,138387,138966,139335,139660,140172,140600,141101,141289,141525,143413,143723,144115,144782,146613,147917,148183,148739,149172,"      Trier-Saarburg, Landkreis"
694,TÜ,8416,15992,16879,16912,17516,17920,18344,18908,19238,19563,18988,19428,20306,20795,21052,21668,22173,22492,22928,23613,3247311,3453704,3490767,3636682,3738532,3838690,3961389,4032135,4106748,4009262,4119321,4313727,4447022,4541302,4711688,4880217,5021102,5163213,5349286,10496.0,9341.0,9833.0,9427.0,9352.0,9592.0,9495.0,8993.0,203746,204464,205041,205393,206349,207783,209444,211675,213474,214817,215939,216616,217246,217519,219683,220769,212437,213847,215715,217445,220096,223236,225195,226543,228005,"      Tübingen, Landkreis"
695,TUT,8327,17158,18279,18179,18780,19013,19658,20499,21069,21403,20797,21377,22379,22966,23253,24227,24036,24962,25289,26022,2257284,2417466,2415954,2501133,2536292,2627300,2740401,2814842,2855813,2766737,2831724,2957996,3039167,3088869,3244005,3259449,3428805,3509088,3637199,5255.0,5601.0,6081.0,6219.0,5258.0,5510.0,5197.0,4618.0,128864,129971,130623,131149,131890,132596,133333,134116,134466,134849,135185,135284,135329,135289,134888,134502,132175,132334,132837,133903,135607,137363,138758,139775,140459,"      Tuttlingen, Landkreis"
696,UM,12073,12019,12584,12741,12893,13246,13359,13642,14038,14557,14901,15157,15655,15775,16308,16632,16738,17161,18028,18493,1811098,1858856,1840728,1826399,1845232,1830803,1837822,1857562,1891536,1904510,1910752,1949044,1942009,1988042,2013785,2023942,2075515,2174397,2218234,9159.0,9047.0,9002.0,8581.0,7747.0,8100.0,7962.0,8077.0,161341,159705,158547,156744,154910,153051,150260,147268,144589,142549,140437,138305,136185,133941,131988,130555,124503,123108,121905,121078,120922,120946,120614,119951,119250,"      Uckermark, Landkreis"
697,ANG,12073,12019,12584,12741,12893,13246,13359,13642,14038,14557,14901,15157,15655,15775,16308,16632,16738,17161,18028,18493,1811098,1858856,1840728,1826399,1845232,1830803,1837822,1857562,1891536,1904510,1910752,1949044,1942009,1988042,2013785,2023942,2075515,2174397,2218234,9159.0,9047.0,9002.0,8581.0,7747.0,8100.0,7962.0,8077.0,161341,159705,158547,156744,154910,153051,150260,147268,144589,142549,140437,138305,136185,133941,131988,130555,124503,123108,121905,121078,120922,120946,120614,119951,119250,"      Uckermark, Landkreis"
698,PZ,12073,12019,12584,12741,12893,13246,13359,13642,14038,14557,14901,15157,15655,15775,16308,16632,16738,17161,18028,18493,1811098,1858856,1840728,1826399,1845232,1830803,1837822,1857562,1891536,1904510,1910752,1949044,1942009,1988042,2013785,2023942,2075515,2174397,2218234,9159.0,9047.0,9002.0,8581.0,7747.0,8100.0,7962.0,8077.0,161341,159705,158547,156744,154910,153051,150260,147268,144589,142549,140437,138305,136185,133941,131988,130555,124503,123108,121905,121078,120922,120946,120614,119951,119250,"      Uckermark, Landkreis"
699,SDT,12073,12019,12584,12741,12893,13246,13359,13642,14038,14557,14901,15157,15655,15775,16308,16632,16738,17161,18028,18493,1811098,1858856,1840728,1826399,1845232,1830803,1837822,1857562,1891536,1904510,1910752,1949044,1942009,1988042,2013785,2023942,2075515,2174397,2218234,9159.0,9047.0,9002.0,8581.0,7747.0,8100.0,7962.0,8077.0,161341,159705,158547,156744,154910,153051,150260,147268,144589,142549,140437,138305,136185,133941,131988,130555,124503,123108,121905,121078,120922,120946,120614,119951,119250,"      Uckermark, Landkreis"
700,TP,12073,12019,12584,12741,12893,13246,13359,13642,14038,14557,14901,15157,15655,15775,16308,16632,16738,17161,18028,18493,1811098,1858856,1840728,1826399,1845232,1830803,1837822,1857562,1891536,1904510,1910752,1949044,1942009,1988042,2013785,2023942,2075515,2174397,2218234,9159.0,9047.0,9002.0,8581.0,7747.0,8100.0,7962.0,8077.0,161341,159705,158547,156744,154910,153051,150260,147268,144589,142549,140437,138305,136185,133941,131988,130555,124503,123108,121905,121078,120922,120946,120614,119951,119250,"      Uckermark, Landkreis"
701,UE,3360,14140,14748,14623,15012,15169,15369,15661,15882,16587,16759,17281,18152,18676,19282,19451,19492,19934,20707,21172,1373577,1435325,1424330,1459631,1473212,1489508,1511310,1524938,1579793,1583022,1624186,1697808,1737669,1785115,1798183,1809492,1854790,1922720,1961778,5367.0,5274.0,6066.0,5721.0,4973.0,5365.0,4820.0,4524.0,95702,96035,96359,96749,97095,97271,97496,97552,97415,97285,97049,96721,96263,95457,94669,94244,93531,93043,92579,92445,92832,93046,92853,92658,92481,"      Uelzen, Landkreis"
702,UN,5978,14451,15122,15303,15740,16147,16194,16472,16661,17258,17089,17656,18265,18643,18914,19328,19715,20149,20777,21494,6122437,6396133,6447300,6596153,6727388,6708210,6771861,6801023,6991213,6865191,7037476,7232482,7343506,7419503,7570906,7765779,7958059,8184260,8476284,29338.0,28501.0,28646.0,28495.0,25496.0,23665.0,22556.0,21886.0,420281,423984,426187,427670,429240,430420,430131,429336,428173,426103,424925,422419,420569,418047,415196,412850,395983,393907,392281,391698,393905,394952,393902,394358,394837,"      Unna, Kreis"
703,LH,5978,14451,15122,15303,15740,16147,16194,16472,16661,17258,17089,17656,18265,18643,18914,19328,19715,20149,20777,21494,6122437,6396133,6447300,6596153,6727388,6708210,6771861,6801023,6991213,6865191,7037476,7232482,7343506,7419503,7570906,7765779,7958059,8184260,8476284,29338.0,28501.0,28646.0,28495.0,25496.0,23665.0,22556.0,21886.0,420281,423984,426187,427670,429240,430420,430131,429336,428173,426103,424925,422419,420569,418047,415196,412850,395983,393907,392281,391698,393905,394952,393902,394358,394837,"      Unna, Kreis"
704,LÜN,5978,14451,15122,15303,15740,16147,16194,16472,16661,17258,17089,17656,18265,18643,18914,19328,19715,20149,20777,21494,6122437,6396133,6447300,6596153,6727388,6708210,6771861,6801023,6991213,6865191,7037476,7232482,7343506,7419503,7570906,7765779,7958059,8184260,8476284,29338.0,28501.0,28646.0,28495.0,25496.0,23665.0,22556.0,21886.0,420281,423984,426187,427670,429240,430420,430131,429336,428173,426103,424925,422419,420569,418047,415196,412850,395983,393907,392281,391698,393905,394952,393902,394358,394837,"      Unna, Kreis"
705,UH,16064,12405,13056,13182,13408,13744,13786,14278,14681,15141,15269,15553,16048,16339,16762,17040,17232,17770,18514,18942,1475695,1537182,1536033,1544790,1566647,1555350,1591470,1617742,1651150,1647720,1662315,1701726,1720765,1753204,1773600,1802437,1858911,1920347,1954945,5978.0,5608.0,5814.0,6550.0,6738.0,6380.0,6018.0,6465.0,122529,122172,121487,121081,120813,120211,118997,117827,116694,115613,114609,113331,112196,111158,110058,109183,106042,105315,104596,104084,104598,104611,103726,103208,102572,      Unstrut-Hainich-Kreis
706,LSZ,16064,12405,13056,13182,13408,13744,13786,14278,14681,15141,15269,15553,16048,16339,16762,17040,17232,17770,18514,18942,1475695,1537182,1536033,1544790,1566647,1555350,1591470,1617742,1651150,1647720,1662315,1701726,1720765,1753204,1773600,1802437,1858911,1920347,1954945,5978.0,5608.0,5814.0,6550.0,6738.0,6380.0,6018.0,6465.0,122529,122172,121487,121081,120813,120211,118997,117827,116694,115613,114609,113331,112196,111158,110058,109183,106042,105315,104596,104084,104598,104611,103726,103208,102572,      Unstrut-Hainich-Kreis
707,MHL,16064,12405,13056,13182,13408,13744,13786,14278,14681,15141,15269,15553,16048,16339,16762,17040,17232,17770,18514,18942,1475695,1537182,1536033,1544790,1566647,1555350,1591470,1617742,1651150,1647720,1662315,1701726,1720765,1753204,1773600,1802437,1858911,1920347,1954945,5978.0,5608.0,5814.0,6550.0,6738.0,6380.0,6018.0,6465.0,122529,122172,121487,121081,120813,120211,118997,117827,116694,115613,114609,113331,112196,111158,110058,109183,106042,105315,104596,104084,104598,104611,103726,103208,102572,      Unstrut-Hainich-Kreis
708,MN,9778,16241,17047,16872,17570,18312,18843,19511,20108,20639,20230,21020,22037,22638,23225,23827,24467,24017,24512,25277,2162157,2287554,2277400,2379098,2484522,2555530,2644412,2727019,2797471,2735658,2840155,2983213,3078475,3180340,3290506,3414800,3381401,3477149,3621989,4288.0,3925.0,3962.0,3977.0,4308.0,4415.0,4535.0,4593.0,129534,130567,131235,131695,132330,133278,134245,135053,135585,135859,135760,135760,135825,135771,135504,135317,135374,135990,136934,138098,139566,140792,141855,143293,144691,"      Unterallgäu, Landkreis"
709,VEC,3460,15130,16257,15885,16559,16888,17452,18107,18478,18818,18768,19058,19945,20272,20543,20925,21169,21723,22355,22694,1871207,2035694,2010292,2110920,2167478,2253428,2348208,2412027,2466628,2461182,2504623,2636345,2698314,2749176,2828775,2900633,3014468,3132112,3201449,8696.0,8096.0,7214.0,6856.0,6417.0,6481.0,6471.0,6344.0,116943,119443,120955,122290,123820,125497,127338,128902,130651,132099,133196,133655,134611,135218,135717,136120,132180,133107,133825,135186,137025,138769,140106,141069,142206,"      Vechta, Landkreis"
